2023-02-20 11:04:52,612 INFO    MainThread:42233 [wandb_setup.py:_flush():68] Configure stats pid to 42233
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_setup.py:_flush():68] Loading settings from /Users/madsandersen/.config/wandb/settings
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_setup.py:_flush():68] Loading settings from /Users/madsandersen/PycharmProjects/BscProjektData/BachelorProject/Training/wandb/settings
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Training/TrainLightning.py', 'program': '/Users/madsandersen/PycharmProjects/BscProjektData/BachelorProject/Training/TrainLightning.py'}
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_init.py:_log_setup():492] Logging user logs to ./wandb/run-20230220_110452-ylzkjdvs/logs/debug.log
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_init.py:_log_setup():493] Logging internal logs to ./wandb/run-20230220_110452-ylzkjdvs/logs/debug-internal.log
2023-02-20 11:04:52,613 INFO    MainThread:42233 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x132939690>
2023-02-20 11:04:52,614 INFO    MainThread:42233 [wandb_init.py:init():532] calling init triggers
2023-02-20 11:04:52,614 INFO    MainThread:42233 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-02-20 11:04:52,614 INFO    MainThread:42233 [wandb_init.py:init():588] starting backend
2023-02-20 11:04:52,614 INFO    MainThread:42233 [wandb_init.py:init():592] setting up manager
2023-02-20 11:04:52,616 INFO    MainThread:42233 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-02-20 11:04:52,618 INFO    MainThread:42233 [wandb_init.py:init():599] backend started and connected
2023-02-20 11:04:52,624 INFO    MainThread:42233 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-02-20 11:04:52,624 INFO    MainThread:42233 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-02-20 11:04:52,624 INFO    MainThread:42233 [wandb_init.py:init():687] updated telemetry
2023-02-20 11:04:52,648 INFO    MainThread:42233 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-20 11:04:53,451 INFO    MainThread:42233 [wandb_run.py:_on_init():2134] communicating current version
2023-02-20 11:04:53,492 INFO    MainThread:42233 [wandb_run.py:_on_init():2143] got version response 
2023-02-20 11:04:53,492 INFO    MainThread:42233 [wandb_init.py:init():775] starting run threads in backend
2023-02-20 11:04:53,552 INFO    MainThread:42233 [wandb_run.py:_console_start():2114] atexit reg
2023-02-20 11:04:53,553 INFO    MainThread:42233 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-20 11:04:53,553 INFO    MainThread:42233 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-20 11:04:53,553 INFO    MainThread:42233 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-20 11:04:53,553 INFO    MainThread:42233 [wandb_init.py:init():817] run started, returning control to user process
2023-02-20 11:04:53,554 INFO    MainThread:42233 [wandb_config.py:__setitem__():155] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x135e56170>>
2023-02-20 11:04:53,554 INFO    MainThread:42233 [wandb_run.py:_config_callback():1250] config_cb batch_size 32 None
2023-02-20 11:04:53,668 INFO    MainThread:42233 [wandb_run.py:_config_callback():1250] config_cb None None {'lr': 0.001, 'inp_size': 28, 'optimizer': 'Adam'}
2023-02-20 11:04:58,786 INFO    MainThread:42233 [wandb_run.py:_finish():1854] finishing run madsandersens/Test2WithLightning/ylzkjdvs
2023-02-20 11:04:58,834 INFO    MainThread:42233 [jupyter.py:save_history():449] not saving jupyter history
2023-02-20 11:04:58,834 INFO    MainThread:42233 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-02-20 11:04:58,834 INFO    MainThread:42233 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-02-20 11:04:58,834 INFO    MainThread:42233 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-02-20 11:04:58,834 INFO    MainThread:42233 [wandb_run.py:_restore():2066] restore
2023-02-20 11:04:58,834 INFO    MainThread:42233 [wandb_run.py:_restore():2072] restore done
2023-02-20 11:05:07,767 INFO    MainThread:42233 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-02-20 11:05:07,770 INFO    MainThread:42233 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-02-20 11:05:07,777 INFO    MainThread:42233 [wandb_run.py:_footer_sync_info():3398] logging synced files
